match_id;game_in_series;teamA;teamB;teamA_win;date;split;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B
summer_0;1;Team WE;Funplus Phoenix;1;2025-08-04;3;CN;17.0;35.3%;0.83;1802.0;-63.0;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19.0;-;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;CN;14.0;28.6%;0.64;1695.0;-250.0;33:16;10.9;17.0;3.1;7.7;42.9;14.3;28.6;2.14;44.2;1.5;57.1;-;-;-;-1346.0;-;0.21;21.4;31.8;2291.0;3.4;1.34;1.5
summer_0;2;Team WE;Funplus Phoenix;1;2025-08-04;3;CN;17.0;35.3%;0.83;1802.0;-63.0;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19.0;-;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;CN;14.0;28.6%;0.64;1695.0;-250.0;33:16;10.9;17.0;3.1;7.7;42.9;14.3;28.6;2.14;44.2;1.5;57.1;-;-;-;-1346.0;-;0.21;21.4;31.8;2291.0;3.4;1.34;1.5
summer_0;3;Team WE;Funplus Phoenix;0;2025-08-04;3;CN;17.0;35.3%;0.83;1802.0;-63.0;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19.0;-;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;CN;14.0;28.6%;0.64;1695.0;-250.0;33:16;10.9;17.0;3.1;7.7;42.9;14.3;28.6;2.14;44.2;1.5;57.1;-;-;-;-1346.0;-;0.21;21.4;31.8;2291.0;3.4;1.34;1.5
summer_1;1;Bilibili Gaming;Top Esports;1;2025-08-03;3;CN;12.0;75.0%;1.45;1957.0;191.0;33:51;20.0;13.8;7.5;3.5;50.0;66.7;66.7;2.92;66.0;1.2;41.7;8.3;1.00;0.0;657.0;3.33;0.92;75.0;33.4;3010.0;3.6;1.39;1.75;CN;15.0;66.7%;1.19;1911.0;112.0;33:45;17.5;14.7;6.7;4.7;60.0;53.3;46.7;2.4;52.8;1.5;46.7;-;-;-;505.0;-;0.73;63.3;33.4;2778.0;3.5;1.35;1.61
summer_1;2;Bilibili Gaming;Top Esports;1;2025-08-03;3;CN;12.0;75.0%;1.45;1957.0;191.0;33:51;20.0;13.8;7.5;3.5;50.0;66.7;66.7;2.92;66.0;1.2;41.7;8.3;1.00;0.0;657.0;3.33;0.92;75.0;33.4;3010.0;3.6;1.39;1.75;CN;15.0;66.7%;1.19;1911.0;112.0;33:45;17.5;14.7;6.7;4.7;60.0;53.3;46.7;2.4;52.8;1.5;46.7;-;-;-;505.0;-;0.73;63.3;33.4;2778.0;3.5;1.35;1.61
summer_2;1;LNG Esports;Edward Gaming;0;2025-08-03;3;CN;12.0;16.7%;0.58;1713.0;-244.0;33:22;10.2;17.6;3.5;7.7;66.7;58.3;33.3;1.42;26.5;1.9;41.7;-;-;-;228.0;-;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;CN;10.0;100.0%;2.74;2018.0;349.0;31:53;18.6;6.7;9.0;2.8;50.0;60.0;50.0;3.3;77.0;0.9;30.0;-;-;-;1566.0;-;0.9;100.0;35.4;2594.0;3.7;1.28;1.81
summer_2;2;LNG Esports;Edward Gaming;0;2025-08-03;3;CN;12.0;16.7%;0.58;1713.0;-244.0;33:22;10.2;17.6;3.5;7.7;66.7;58.3;33.3;1.42;26.5;1.9;41.7;-;-;-;228.0;-;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;CN;10.0;100.0%;2.74;2018.0;349.0;31:53;18.6;6.7;9.0;2.8;50.0;60.0;50.0;3.3;77.0;0.9;30.0;-;-;-;1566.0;-;0.9;100.0;35.4;2594.0;3.7;1.28;1.81
summer_3;1;JD Gaming;Anyone s Legend;0;2025-08-02;3;CN;11.0;36.4%;0.68;1743.0;-145.0;30:10;10.5;15.5;4.6;6.0;63.6;54.5;54.5;1.55;34.5;1.5;54.5;-;-;-;33.0;-;0.36;44.4;32.4;2372.0;3.5;1.29;1.31;CN;21.0;57.1%;1.18;1856.0;43.0;31:50;15.3;13.0;5.4;5.0;28.6;52.4;57.1;2.0;46.0;1.8;61.9;33.3;0.70;0.3;115.0;1.60;0.52;48.1;33.5;2756.0;3.7;1.43;1.62
summer_3;2;JD Gaming;Anyone s Legend;0;2025-08-02;3;CN;11.0;36.4%;0.68;1743.0;-145.0;30:10;10.5;15.5;4.6;6.0;63.6;54.5;54.5;1.55;34.5;1.5;54.5;-;-;-;33.0;-;0.36;44.4;32.4;2372.0;3.5;1.29;1.31;CN;21.0;57.1%;1.18;1856.0;43.0;31:50;15.3;13.0;5.4;5.0;28.6;52.4;57.1;2.0;46.0;1.8;61.9;33.3;0.70;0.3;115.0;1.60;0.52;48.1;33.5;2756.0;3.7;1.43;1.62
summer_4;1;LNG Esports;Ultra Prime;1;2025-08-02;3;CN;12.0;16.7%;0.58;1713.0;-244.0;33:22;10.2;17.6;3.5;7.7;66.7;58.3;33.3;1.42;26.5;1.9;41.7;-;-;-;228.0;-;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;CN;14.0;35.7%;0.76;1774.0;-90.0;31:15;9.8;12.9;4.6;6.3;42.9;21.4;42.9;2.07;48.0;1.8;64.3;-;-;-;-670.0;-;0.29;30.3;33.9;2124.0;3.7;1.29;1.34
summer_4;2;LNG Esports;Ultra Prime;0;2025-08-02;3;CN;12.0;16.7%;0.58;1713.0;-244.0;33:22;10.2;17.6;3.5;7.7;66.7;58.3;33.3;1.42;26.5;1.9;41.7;-;-;-;228.0;-;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;CN;14.0;35.7%;0.76;1774.0;-90.0;31:15;9.8;12.9;4.6;6.3;42.9;21.4;42.9;2.07;48.0;1.8;64.3;-;-;-;-670.0;-;0.29;30.3;33.9;2124.0;3.7;1.29;1.34
summer_4;3;LNG Esports;Ultra Prime;0;2025-08-02;3;CN;12.0;16.7%;0.58;1713.0;-244.0;33:22;10.2;17.6;3.5;7.7;66.7;58.3;33.3;1.42;26.5;1.9;41.7;-;-;-;228.0;-;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;CN;14.0;35.7%;0.76;1774.0;-90.0;31:15;9.8;12.9;4.6;6.3;42.9;21.4;42.9;2.07;48.0;1.8;64.3;-;-;-;-670.0;-;0.29;30.3;33.9;2124.0;3.7;1.29;1.34
summer_5;1;TT;LGD Gaming;0;2025-08-02;3;CN;9.0;44.4%;1.04;1837.0;4.0;31:44;13.0;12.6;5.6;6.2;55.6;33.3;55.6;2.78;56.9;1.3;55.6;-;-;-;-75.0;-;0.67;62.5;33.7;2211.0;3.7;1.44;1.63;CN;13.0;53.8%;0.9;1856.0;9.0;30:52;13.4;14.9;5.8;5.2;30.8;61.5;53.8;1.85;45.0;1.5;46.2;-;-;-;-581.0;-;0.31;36.4;33.5;2395.0;3.1;1.13;1.58
summer_5;2;TT;LGD Gaming;0;2025-08-02;3;CN;9.0;44.4%;1.04;1837.0;4.0;31:44;13.0;12.6;5.6;6.2;55.6;33.3;55.6;2.78;56.9;1.3;55.6;-;-;-;-75.0;-;0.67;62.5;33.7;2211.0;3.7;1.44;1.63;CN;13.0;53.8%;0.9;1856.0;9.0;30:52;13.4;14.9;5.8;5.2;30.8;61.5;53.8;1.85;45.0;1.5;46.2;-;-;-;-581.0;-;0.31;36.4;33.5;2395.0;3.1;1.13;1.58
summer_6;1;Invictus Gaming;Weibo Gaming;1;2025-08-01;3;CN;11.0;63.6%;1.25;1917.0;143.0;35:23;20.2;16.0;6.9;4.8;54.5;54.5;45.5;2.82;61.7;1.2;63.6;-;-;-;195.0;-;0.82;66.7;31.6;3215.0;3.4;1.29;1.58;CN;16.0;43.8%;0.98;1825.0;-1.0;34:54;14.1;14.4;5.9;5.9;50.0;68.8;43.8;2.0;40.7;1.6;43.8;-;-;-;116.0;-;0.56;45.6;33.2;2757.0;3.6;1.35;1.66
summer_6;2;Invictus Gaming;Weibo Gaming;1;2025-08-01;3;CN;11.0;63.6%;1.25;1917.0;143.0;35:23;20.2;16.0;6.9;4.8;54.5;54.5;45.5;2.82;61.7;1.2;63.6;-;-;-;195.0;-;0.82;66.7;31.6;3215.0;3.4;1.29;1.58;CN;16.0;43.8%;0.98;1825.0;-1.0;34:54;14.1;14.4;5.9;5.9;50.0;68.8;43.8;2.0;40.7;1.6;43.8;-;-;-;116.0;-;0.56;45.6;33.2;2757.0;3.6;1.35;1.66
summer_7;1;Funplus Phoenix;JD Gaming;0;2025-08-01;3;CN;14.0;28.6%;0.64;1695.0;-250.0;33:16;10.9;17.0;3.1;7.7;42.9;14.3;28.6;2.14;44.2;1.5;57.1;-;-;-;-1346.0;-;0.21;21.4;31.8;2291.0;3.4;1.34;1.5;CN;11.0;36.4%;0.68;1743.0;-145.0;30:10;10.5;15.5;4.6;6.0;63.6;54.5;54.5;1.55;34.5;1.5;54.5;-;-;-;33.0;-;0.36;44.4;32.4;2372.0;3.5;1.29;1.31
summer_7;2;Funplus Phoenix;JD Gaming;0;2025-08-01;3;CN;14.0;28.6%;0.64;1695.0;-250.0;33:16;10.9;17.0;3.1;7.7;42.9;14.3;28.6;2.14;44.2;1.5;57.1;-;-;-;-1346.0;-;0.21;21.4;31.8;2291.0;3.4;1.34;1.5;CN;11.0;36.4%;0.68;1743.0;-145.0;30:10;10.5;15.5;4.6;6.0;63.6;54.5;54.5;1.55;34.5;1.5;54.5;-;-;-;33.0;-;0.36;44.4;32.4;2372.0;3.5;1.29;1.31
summer_8;1;Weibo Gaming;Bilibili Gaming;0;2025-07-31;3;CN;16.0;43.8%;0.98;1825.0;-1.0;34:54;14.1;14.4;5.9;5.9;50.0;68.8;43.8;2.0;40.7;1.6;43.8;-;-;-;116.0;-;0.56;45.6;33.2;2757.0;3.6;1.35;1.66;CN;12.0;75.0%;1.45;1957.0;191.0;33:51;20.0;13.8;7.5;3.5;50.0;66.7;66.7;2.92;66.0;1.2;41.7;8.3;1.00;0.0;657.0;3.33;0.92;75.0;33.4;3010.0;3.6;1.39;1.75
summer_8;2;Weibo Gaming;Bilibili Gaming;0;2025-07-31;3;CN;16.0;43.8%;0.98;1825.0;-1.0;34:54;14.1;14.4;5.9;5.9;50.0;68.8;43.8;2.0;40.7;1.6;43.8;-;-;-;116.0;-;0.56;45.6;33.2;2757.0;3.6;1.35;1.66;CN;12.0;75.0%;1.45;1957.0;191.0;33:51;20.0;13.8;7.5;3.5;50.0;66.7;66.7;2.92;66.0;1.2;41.7;8.3;1.00;0.0;657.0;3.33;0.92;75.0;33.4;3010.0;3.6;1.39;1.75
summer_9;1;Top Esports;Team WE;1;2025-07-31;3;CN;15.0;66.7%;1.19;1911.0;112.0;33:45;17.5;14.7;6.7;4.7;60.0;53.3;46.7;2.4;52.8;1.5;46.7;-;-;-;505.0;-;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;CN;17.0;35.3%;0.83;1802.0;-63.0;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19.0;-;0.47;41.2;32.8;2604.0;3.5;1.36;1.62
summer_9;2;Top Esports;Team WE;1;2025-07-31;3;CN;15.0;66.7%;1.19;1911.0;112.0;33:45;17.5;14.7;6.7;4.7;60.0;53.3;46.7;2.4;52.8;1.5;46.7;-;-;-;505.0;-;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;CN;17.0;35.3%;0.83;1802.0;-63.0;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19.0;-;0.47;41.2;32.8;2604.0;3.5;1.36;1.62
summer_9;3;Top Esports;Team WE;0;2025-07-31;3;CN;15.0;66.7%;1.19;1911.0;112.0;33:45;17.5;14.7;6.7;4.7;60.0;53.3;46.7;2.4;52.8;1.5;46.7;-;-;-;505.0;-;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;CN;17.0;35.3%;0.83;1802.0;-63.0;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19.0;-;0.47;41.2;32.8;2604.0;3.5;1.36;1.62
summer_10;1;Anyone s Legend;Team WE;1;2025-07-30;3;CN;21.0;57.1%;1.18;1856.0;43.0;31:50;15.3;13.0;5.4;5.0;28.6;52.4;57.1;2.0;46.0;1.8;61.9;33.3;0.70;0.3;115.0;1.60;0.52;48.1;33.5;2756.0;3.7;1.43;1.62;CN;17.0;35.3%;0.83;1802.0;-63.0;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19.0;-;0.47;41.2;32.8;2604.0;3.5;1.36;1.62
summer_10;2;Anyone s Legend;Team WE;1;2025-07-30;3;CN;21.0;57.1%;1.18;1856.0;43.0;31:50;15.3;13.0;5.4;5.0;28.6;52.4;57.1;2.0;46.0;1.8;61.9;33.3;0.70;0.3;115.0;1.60;0.52;48.1;33.5;2756.0;3.7;1.43;1.62;CN;17.0;35.3%;0.83;1802.0;-63.0;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19.0;-;0.47;41.2;32.8;2604.0;3.5;1.36;1.62
summer_10;3;Anyone s Legend;Team WE;0;2025-07-30;3;CN;21.0;57.1%;1.18;1856.0;43.0;31:50;15.3;13.0;5.4;5.0;28.6;52.4;57.1;2.0;46.0;1.8;61.9;33.3;0.70;0.3;115.0;1.60;0.52;48.1;33.5;2756.0;3.7;1.43;1.62;CN;17.0;35.3%;0.83;1802.0;-63.0;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19.0;-;0.47;41.2;32.8;2604.0;3.5;1.36;1.62
summer_11;1;Funplus Phoenix;Invictus Gaming;1;2025-07-29;3;CN;14.0;28.6%;0.64;1695.0;-250.0;33:16;10.9;17.0;3.1;7.7;42.9;14.3;28.6;2.14;44.2;1.5;57.1;-;-;-;-1346.0;-;0.21;21.4;31.8;2291.0;3.4;1.34;1.5;CN;11.0;63.6%;1.25;1917.0;143.0;35:23;20.2;16.0;6.9;4.8;54.5;54.5;45.5;2.82;61.7;1.2;63.6;-;-;-;195.0;-;0.82;66.7;31.6;3215.0;3.4;1.29;1.58
summer_11;2;Funplus Phoenix;Invictus Gaming;1;2025-07-29;3;CN;14.0;28.6%;0.64;1695.0;-250.0;33:16;10.9;17.0;3.1;7.7;42.9;14.3;28.6;2.14;44.2;1.5;57.1;-;-;-;-1346.0;-;0.21;21.4;31.8;2291.0;3.4;1.34;1.5;CN;11.0;63.6%;1.25;1917.0;143.0;35:23;20.2;16.0;6.9;4.8;54.5;54.5;45.5;2.82;61.7;1.2;63.6;-;-;-;195.0;-;0.82;66.7;31.6;3215.0;3.4;1.29;1.58
summer_12;1;Ultra Prime;LGD Gaming;1;2025-07-29;3;CN;14.0;35.7%;0.76;1774.0;-90.0;31:15;9.8;12.9;4.6;6.3;42.9;21.4;42.9;2.07;48.0;1.8;64.3;-;-;-;-670.0;-;0.29;30.3;33.9;2124.0;3.7;1.29;1.34;CN;13.0;53.8%;0.9;1856.0;9.0;30:52;13.4;14.9;5.8;5.2;30.8;61.5;53.8;1.85;45.0;1.5;46.2;-;-;-;-581.0;-;0.31;36.4;33.5;2395.0;3.1;1.13;1.58
summer_12;2;Ultra Prime;LGD Gaming;0;2025-07-29;3;CN;14.0;35.7%;0.76;1774.0;-90.0;31:15;9.8;12.9;4.6;6.3;42.9;21.4;42.9;2.07;48.0;1.8;64.3;-;-;-;-670.0;-;0.29;30.3;33.9;2124.0;3.7;1.29;1.34;CN;13.0;53.8%;0.9;1856.0;9.0;30:52;13.4;14.9;5.8;5.2;30.8;61.5;53.8;1.85;45.0;1.5;46.2;-;-;-;-581.0;-;0.31;36.4;33.5;2395.0;3.1;1.13;1.58
summer_12;3;Ultra Prime;LGD Gaming;0;2025-07-29;3;CN;14.0;35.7%;0.76;1774.0;-90.0;31:15;9.8;12.9;4.6;6.3;42.9;21.4;42.9;2.07;48.0;1.8;64.3;-;-;-;-670.0;-;0.29;30.3;33.9;2124.0;3.7;1.29;1.34;CN;13.0;53.8%;0.9;1856.0;9.0;30:52;13.4;14.9;5.8;5.2;30.8;61.5;53.8;1.85;45.0;1.5;46.2;-;-;-;-581.0;-;0.31;36.4;33.5;2395.0;3.1;1.13;1.58
summer_13;1;Top Esports;JD Gaming;1;2025-07-28;3;CN;15.0;66.7%;1.19;1911.0;112.0;33:45;17.5;14.7;6.7;4.7;60.0;53.3;46.7;2.4;52.8;1.5;46.7;-;-;-;505.0;-;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;CN;11.0;36.4%;0.68;1743.0;-145.0;30:10;10.5;15.5;4.6;6.0;63.6;54.5;54.5;1.55;34.5;1.5;54.5;-;-;-;33.0;-;0.36;44.4;32.4;2372.0;3.5;1.29;1.31
summer_13;2;Top Esports;JD Gaming;1;2025-07-28;3;CN;15.0;66.7%;1.19;1911.0;112.0;33:45;17.5;14.7;6.7;4.7;60.0;53.3;46.7;2.4;52.8;1.5;46.7;-;-;-;505.0;-;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;CN;11.0;36.4%;0.68;1743.0;-145.0;30:10;10.5;15.5;4.6;6.0;63.6;54.5;54.5;1.55;34.5;1.5;54.5;-;-;-;33.0;-;0.36;44.4;32.4;2372.0;3.5;1.29;1.31
summer_14;1;LGD Gaming;Edward Gaming;0;2025-07-28;3;CN;13.0;53.8%;0.9;1856.0;9.0;30:52;13.4;14.9;5.8;5.2;30.8;61.5;53.8;1.85;45.0;1.5;46.2;-;-;-;-581.0;-;0.31;36.4;33.5;2395.0;3.1;1.13;1.58;CN;10.0;100.0%;2.74;2018.0;349.0;31:53;18.6;6.7;9.0;2.8;50.0;60.0;50.0;3.3;77.0;0.9;30.0;-;-;-;1566.0;-;0.9;100.0;35.4;2594.0;3.7;1.28;1.81
summer_14;2;LGD Gaming;Edward Gaming;0;2025-07-28;3;CN;13.0;53.8%;0.9;1856.0;9.0;30:52;13.4;14.9;5.8;5.2;30.8;61.5;53.8;1.85;45.0;1.5;46.2;-;-;-;-581.0;-;0.31;36.4;33.5;2395.0;3.1;1.13;1.58;CN;10.0;100.0%;2.74;2018.0;349.0;31:53;18.6;6.7;9.0;2.8;50.0;60.0;50.0;3.3;77.0;0.9;30.0;-;-;-;1566.0;-;0.9;100.0;35.4;2594.0;3.7;1.28;1.81
summer_15;1;Anyone s Legend;Weibo Gaming;1;2025-07-27;3;CN;21.0;57.1%;1.18;1856.0;43.0;31:50;15.3;13.0;5.4;5.0;28.6;52.4;57.1;2.0;46.0;1.8;61.9;33.3;0.70;0.3;115.0;1.60;0.52;48.1;33.5;2756.0;3.7;1.43;1.62;CN;16.0;43.8%;0.98;1825.0;-1.0;34:54;14.1;14.4;5.9;5.9;50.0;68.8;43.8;2.0;40.7;1.6;43.8;-;-;-;116.0;-;0.56;45.6;33.2;2757.0;3.6;1.35;1.66
summer_15;2;Anyone s Legend;Weibo Gaming;0;2025-07-27;3;CN;21.0;57.1%;1.18;1856.0;43.0;31:50;15.3;13.0;5.4;5.0;28.6;52.4;57.1;2.0;46.0;1.8;61.9;33.3;0.70;0.3;115.0;1.60;0.52;48.1;33.5;2756.0;3.7;1.43;1.62;CN;16.0;43.8%;0.98;1825.0;-1.0;34:54;14.1;14.4;5.9;5.9;50.0;68.8;43.8;2.0;40.7;1.6;43.8;-;-;-;116.0;-;0.56;45.6;33.2;2757.0;3.6;1.35;1.66
summer_15;3;Anyone s Legend;Weibo Gaming;0;2025-07-27;3;CN;21.0;57.1%;1.18;1856.0;43.0;31:50;15.3;13.0;5.4;5.0;28.6;52.4;57.1;2.0;46.0;1.8;61.9;33.3;0.70;0.3;115.0;1.60;0.52;48.1;33.5;2756.0;3.7;1.43;1.62;CN;16.0;43.8%;0.98;1825.0;-1.0;34:54;14.1;14.4;5.9;5.9;50.0;68.8;43.8;2.0;40.7;1.6;43.8;-;-;-;116.0;-;0.56;45.6;33.2;2757.0;3.6;1.35;1.66
summer_16;1;Bilibili Gaming;Funplus Phoenix;1;2025-07-27;3;CN;12.0;75.0%;1.45;1957.0;191.0;33:51;20.0;13.8;7.5;3.5;50.0;66.7;66.7;2.92;66.0;1.2;41.7;8.3;1.00;0.0;657.0;3.33;0.92;75.0;33.4;3010.0;3.6;1.39;1.75;CN;14.0;28.6%;0.64;1695.0;-250.0;33:16;10.9;17.0;3.1;7.7;42.9;14.3;28.6;2.14;44.2;1.5;57.1;-;-;-;-1346.0;-;0.21;21.4;31.8;2291.0;3.4;1.34;1.5
summer_16;2;Bilibili Gaming;Funplus Phoenix;1;2025-07-27;3;CN;12.0;75.0%;1.45;1957.0;191.0;33:51;20.0;13.8;7.5;3.5;50.0;66.7;66.7;2.92;66.0;1.2;41.7;8.3;1.00;0.0;657.0;3.33;0.92;75.0;33.4;3010.0;3.6;1.39;1.75;CN;14.0;28.6%;0.64;1695.0;-250.0;33:16;10.9;17.0;3.1;7.7;42.9;14.3;28.6;2.14;44.2;1.5;57.1;-;-;-;-1346.0;-;0.21;21.4;31.8;2291.0;3.4;1.34;1.5
