"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Esports World Cup 2025","2025-07-16","Cloud9",2,0,2,36.7,11,44,0.25,0.75,-1.82,"-10.8%",35.2,-35.2,-1677,"50%","0%","0%",2,"0%","50%","100%","50%","0%","0%","0%","51.7%","47.5%",3.12,1.02,1.56
"Esports World Cup 2025","2025-07-16","CTBC Flying Oyster",2,1,1,28.4,32,29,1.1,1.08,0.42,"-1.3%",72.3,-22.3,720,"50%","50%","50%",3.5,"100%","17%","100%","75%",,"50%","50%","48.9%","51.2%",3.76,1.46,1.27
"Esports World Cup 2025","2025-07-16","FlyQuest",2,1,1,36.5,23,27,0.85,0.68,-0.43,"1.9%",36.6,13.4,-876,"0%","50%","50%",3.5,"50%","0%","50%","20%","100%","50%","67%","50.2%","47.4%",3.48,1,1.38
"Esports World Cup 2025","2025-07-16","FURIA",2,1,1,32.9,36,28,1.29,0.97,0.21,"-0.1%",55.1,-5.1,1143,"100%","100%","50%",3.5,"50%","67%","50%","50%",,"50%","100%","47.9%","47.9%",3.57,1.43,1.5
"Esports World Cup 2025","2025-07-16","G2 Esports",2,2,0,32.8,44,15,2.93,0.9,2.33,"9.0%",73.1,26.9,1410,"50%","50%","100%",6,"100%","83%","0%","80%",,"50%","100%","50.2%","57.1%",3.31,1.24,1.61
"Esports World Cup 2025","2025-07-16","GAM Esports",2,0,2,29.2,14,38,0.37,0.89,-1.02,"-5.7%",35.1,-35.1,-669,"100%","0%","50%",1.5,"0%","67%","0%","22%",,"0%","0%","49.0%","47.2%",3.36,1.28,1.38
"Esports World Cup 2025","2025-07-16","Hanwha Life Esports",2,2,0,28.7,43,16,2.69,1.03,1.04,"13.9%",61.8,38.2,853,"0%","100%","100%",4,"0%","33%","50%","63%",,"100%","100%","50.5%","52.7%",3.64,1.27,1.69
"Esports World Cup 2025","2025-07-16","Movistar KOI",2,1,1,29.6,22,28,0.79,0.85,-0.4,"-6.8%",30.9,19.1,-904,"50%","50%","0%",4,"100%","83%","50%","44%",,"50%","50%","51.6%","48.9%",3.33,1.05,1.73
"Esports World Cup 2025","2025-07-17","Anyone's Legend",3,2,1,31.2,61,28,2.18,0.95,0.78,"12.6%",56.3,10.4,391,"0%","67%","67%",1.3,"67%","78%","33%","62%",,"33%","50%","50.9%","55.6%",3.75,1.43,1.7
"Esports World Cup 2025","2025-07-17","Bilibili Gaming",3,1,2,32.5,30,52,0.58,0.84,-0.7,"-0.9%",38.4,-5.1,-716,"33%","33%","33%",3.3,"67%","56%","67%","47%",,"33%","50%","49.8%","48.4%",3.31,1.21,1.53
"Esports World Cup 2025","2025-07-17","Cloud9",2,0,2,36.7,11,44,0.25,0.75,-1.82,"-10.8%",35.2,-35.2,-1677,"50%","0%","0%",2,"0%","50%","100%","50%","0%","0%","0%","51.7%","47.5%",3.12,1.02,1.56
"Esports World Cup 2025","2025-07-17","CTBC Flying Oyster",3,1,2,31.3,46,44,1.05,0.96,0.29,"-2.7%",76.3,-42.9,1056,"67%","33%","33%",4,"67%","11%","100%","69%",,"33%","33%","49.2%","49.4%",4.02,1.56,1.38
"Esports World Cup 2025","2025-07-17","FlyQuest",3,2,1,34.3,43,32,1.34,0.73,0.68,"3.7%",56,10.7,855,"33%","67%","67%",4.3,"33%","22%","67%","43%","100%","33%","67%","50.7%","50.0%",3.43,0.98,1.41
"Esports World Cup 2025","2025-07-17","FURIA",3,1,2,31.9,41,48,0.85,0.93,-0.91,"-2.5%",38.5,-5.1,-677,"67%","67%","33%",2.7,"67%","56%","33%","36%",,"33%","100%","48.1%","46.9%",3.53,1.43,1.34
"Esports World Cup 2025","2025-07-17","G2 Esports",5,4,1,32.6,96,45,2.13,0.87,1.35,"4.2%",66.2,13.8,994,"60%","60%","80%",4.4,"60%","60%","20%","64%",,"60%","60%","50.2%","53.8%",3.32,1.24,1.68
"Esports World Cup 2025","2025-07-17","GAM Esports",2,0,2,29.2,14,38,0.37,0.89,-1.02,"-5.7%",35.1,-35.1,-669,"100%","0%","50%",1.5,"0%","67%","0%","22%",,"0%","0%","49.0%","47.2%",3.36,1.28,1.38
"Esports World Cup 2025","2025-07-17","Hanwha Life Esports",5,3,2,30.2,71,77,0.92,0.98,-0.08,"-2.0%",51,9,107,"60%","60%","60%",3.2,"20%","27%","60%","48%",,"60%","75%","49.7%","47.7%",3.56,1.27,1.72
"Esports World Cup 2025","2025-07-17","Movistar KOI",3,2,1,32.1,37,42,0.88,0.82,-0.28,"-2.7%",25.8,40.8,-1179,"33%","67%","33%",5,"100%","89%","33%","43%",,"67%","67%","51.2%","50.6%",3.38,1.07,1.92
"Esports World Cup 2025","2025-07-18","Anyone's Legend",3,2,1,31.2,61,28,2.18,0.95,0.78,"12.6%",56.3,10.4,391,"0%","67%","67%",1.3,"67%","78%","33%","62%",,"33%","50%","50.9%","55.6%",3.75,1.43,1.7
"Esports World Cup 2025","2025-07-18","Bilibili Gaming",3,1,2,32.5,30,52,0.58,0.84,-0.7,"-0.9%",38.4,-5.1,-716,"33%","33%","33%",3.3,"67%","56%","67%","47%",,"33%","50%","49.8%","48.4%",3.31,1.21,1.53
"Esports World Cup 2025","2025-07-18","Cloud9",2,0,2,36.7,11,44,0.25,0.75,-1.82,"-10.8%",35.2,-35.2,-1677,"50%","0%","0%",2,"0%","50%","100%","50%","0%","0%","0%","51.7%","47.5%",3.12,1.02,1.56
"Esports World Cup 2025","2025-07-18","CTBC Flying Oyster",3,1,2,31.3,46,44,1.05,0.96,0.29,"-2.7%",76.3,-42.9,1056,"67%","33%","33%",4,"67%","11%","100%","69%",,"33%","33%","49.2%","49.4%",4.02,1.56,1.38
"Esports World Cup 2025","2025-07-18","FlyQuest",5,2,3,33,70,75,0.93,0.88,-0.07,"-0.6%",43.1,-3.1,-206,"40%","40%","40%",3.8,"40%","20%","40%","38%","100%","20%","40%","49.2%","49.9%",3.41,1.01,1.3
"Esports World Cup 2025","2025-07-18","FURIA",3,1,2,31.9,41,48,0.85,0.93,-0.91,"-2.5%",38.5,-5.1,-677,"67%","67%","33%",2.7,"67%","56%","33%","36%",,"33%","100%","48.1%","46.9%",3.53,1.43,1.34
"Esports World Cup 2025","2025-07-18","G2 Esports",5,4,1,32.6,96,45,2.13,0.87,1.35,"4.2%",66.2,13.8,994,"60%","60%","80%",4.4,"60%","60%","20%","64%",,"60%","60%","50.2%","53.8%",3.32,1.24,1.68
"Esports World Cup 2025","2025-07-18","GAM Esports",2,0,2,29.2,14,38,0.37,0.89,-1.02,"-5.7%",35.1,-35.1,-669,"100%","0%","50%",1.5,"0%","67%","0%","22%",,"0%","0%","49.0%","47.2%",3.36,1.28,1.38
"Esports World Cup 2025","2025-07-18","Gen.G",2,2,0,31.1,43,27,1.59,1.13,1.33,"7.0%",76.3,23.7,1797,"50%","100%","100%",4.5,"50%","83%","100%","70%",,"100%","100%","52.9%","50.4%",3.41,1.27,1.61
"Esports World Cup 2025","2025-07-18","Hanwha Life Esports",5,3,2,30.2,71,77,0.92,0.98,-0.08,"-2.0%",51,9,107,"60%","60%","60%",3.2,"20%","27%","60%","48%",,"60%","75%","49.7%","47.7%",3.56,1.27,1.72
"Esports World Cup 2025","2025-07-18","Movistar KOI",6,3,3,30.3,80,97,0.82,0.98,-0.78,"-5.9%",34.7,15.3,-612,"17%","50%","33%",4.7,"67%","78%","33%","42%",,"33%","40%","50.3%","48.4%",3.35,1.09,1.82
"Esports World Cup 2025","2025-07-18","T1",3,2,1,28.4,55,45,1.22,1.15,1.35,"9.0%",56.4,10.3,44,"100%","67%","67%",5.3,"67%","33%","67%","58%",,"67%","100%","50.6%","53.8%",3.69,1.5,1.31
"Esports World Cup 2025","2025-07-19","Anyone's Legend",5,4,1,30.9,106,40,2.65,0.95,1.54,"13.3%",66.3,13.7,1759,"40%","80%","80%",2,"80%","67%","20%","55%",,"40%","50%","50.1%","54.8%",3.77,1.5,1.66
"Esports World Cup 2025","2025-07-19","Bilibili Gaming",3,1,2,32.5,30,52,0.58,0.84,-0.7,"-0.9%",38.4,-5.1,-716,"33%","33%","33%",3.3,"67%","56%","67%","47%",,"33%","50%","49.8%","48.4%",3.31,1.21,1.53
"Esports World Cup 2025","2025-07-19","Cloud9",2,0,2,36.7,11,44,0.25,0.75,-1.82,"-10.8%",35.2,-35.2,-1677,"50%","0%","0%",2,"0%","50%","100%","50%","0%","0%","0%","51.7%","47.5%",3.12,1.02,1.56
"Esports World Cup 2025","2025-07-19","CTBC Flying Oyster",3,1,2,31.3,46,44,1.05,0.96,0.29,"-2.7%",76.3,-42.9,1056,"67%","33%","33%",4,"67%","11%","100%","69%",,"33%","33%","49.2%","49.4%",4.02,1.56,1.38
"Esports World Cup 2025","2025-07-19","FlyQuest",5,2,3,33,70,75,0.93,0.88,-0.07,"-0.6%",43.1,-3.1,-206,"40%","40%","40%",3.8,"40%","20%","40%","38%","100%","20%","40%","49.2%","49.9%",3.41,1.01,1.3
"Esports World Cup 2025","2025-07-19","FURIA",3,1,2,31.9,41,48,0.85,0.93,-0.91,"-2.5%",38.5,-5.1,-677,"67%","67%","33%",2.7,"67%","56%","33%","36%",,"33%","100%","48.1%","46.9%",3.53,1.43,1.34
"Esports World Cup 2025","2025-07-19","G2 Esports",8,5,3,31.8,129,84,1.54,0.84,0.66,"1.5%",51,11.5,-4,"50%","38%","50%",4,"50%","54%","25%","54%",,"50%","63%","49.4%","52.2%",3.3,1.21,1.69
"Esports World Cup 2025","2025-07-19","GAM Esports",2,0,2,29.2,14,38,0.37,0.89,-1.02,"-5.7%",35.1,-35.1,-669,"100%","0%","50%",1.5,"0%","67%","0%","22%",,"0%","0%","49.0%","47.2%",3.36,1.28,1.38
"Esports World Cup 2025","2025-07-19","Gen.G",5,4,1,30.8,82,61,1.34,0.92,0.87,"4.6%",75.1,4.9,1718,"60%","100%","100%",5.2,"60%","67%","80%","67%",,"60%","60%","52.3%","50.5%",3.58,1.25,1.54
"Esports World Cup 2025","2025-07-19","Hanwha Life Esports",5,3,2,30.2,71,77,0.92,0.98,-0.08,"-2.0%",51,9,107,"60%","60%","60%",3.2,"20%","27%","60%","48%",,"60%","75%","49.7%","47.7%",3.56,1.27,1.72
"Esports World Cup 2025","2025-07-19","Movistar KOI",6,3,3,30.3,80,97,0.82,0.98,-0.78,"-5.9%",34.7,15.3,-612,"17%","50%","33%",4.7,"67%","78%","33%","42%",,"33%","40%","50.3%","48.4%",3.35,1.09,1.82
"Esports World Cup 2025","2025-07-19","T1",5,2,3,29.2,67,90,0.74,1.06,-0.33,"-0.3%",41.3,-1.3,-1498,"60%","40%","40%",4,"40%","40%","80%","57%",,"60%","75%","50.7%","50.8%",3.66,1.42,1.4
"Esports World Cup 2025","2025-07-20","Anyone's Legend",10,6,4,31.8,159,118,1.35,0.87,0.17,"3.3%",52.9,7.1,523,"30%","70%","60%",1.6,"70%","53%","40%","45%",,"40%","55%","49.6%","51.9%",3.8,1.5,1.52
"Esports World Cup 2025","2025-07-20","Bilibili Gaming",3,1,2,32.5,30,52,0.58,0.84,-0.7,"-0.9%",38.4,-5.1,-716,"33%","33%","33%",3.3,"67%","56%","67%","47%",,"33%","50%","49.8%","48.4%",3.31,1.21,1.53
"Esports World Cup 2025","2025-07-20","Cloud9",2,0,2,36.7,11,44,0.25,0.75,-1.82,"-10.8%",35.2,-35.2,-1677,"50%","0%","0%",2,"0%","50%","100%","50%","0%","0%","0%","51.7%","47.5%",3.12,1.02,1.56
"Esports World Cup 2025","2025-07-20","CTBC Flying Oyster",3,1,2,31.3,46,44,1.05,0.96,0.29,"-2.7%",76.3,-42.9,1056,"67%","33%","33%",4,"67%","11%","100%","69%",,"33%","33%","49.2%","49.4%",4.02,1.56,1.38
"Esports World Cup 2025","2025-07-20","FlyQuest",5,2,3,33,70,75,0.93,0.88,-0.07,"-0.6%",43.1,-3.1,-206,"40%","40%","40%",3.8,"40%","20%","40%","38%","100%","20%","40%","49.2%","49.9%",3.41,1.01,1.3
"Esports World Cup 2025","2025-07-20","FURIA",3,1,2,31.9,41,48,0.85,0.93,-0.91,"-2.5%",38.5,-5.1,-677,"67%","67%","33%",2.7,"67%","56%","33%","36%",,"33%","100%","48.1%","46.9%",3.53,1.43,1.34
"Esports World Cup 2025","2025-07-20","G2 Esports",10,5,5,31,144,126,1.14,0.87,0.28,"-2.0%",48.2,1.8,-308,"40%","40%","40%",4.3,"40%","47%","40%","53%",,"40%","50%","49.2%","50.8%",3.24,1.17,1.63
"Esports World Cup 2025","2025-07-20","GAM Esports",2,0,2,29.2,14,38,0.37,0.89,-1.02,"-5.7%",35.1,-35.1,-669,"100%","0%","50%",1.5,"0%","67%","0%","22%",,"0%","0%","49.0%","47.2%",3.36,1.28,1.38
"Esports World Cup 2025","2025-07-20","Gen.G",10,7,3,31.7,160,114,1.4,0.86,0.99,"5.6%",67.8,2.2,1216,"70%","70%","80%",4.2,"50%","63%","60%","65%",,"60%","50%","51.6%","50.8%",3.64,1.25,1.69
"Esports World Cup 2025","2025-07-20","Hanwha Life Esports",5,3,2,30.2,71,77,0.92,0.98,-0.08,"-2.0%",51,9,107,"60%","60%","60%",3.2,"20%","27%","60%","48%",,"60%","75%","49.7%","47.7%",3.56,1.27,1.72
"Esports World Cup 2025","2025-07-20","Movistar KOI",6,3,3,30.3,80,97,0.82,0.98,-0.78,"-5.9%",34.7,15.3,-612,"17%","50%","33%",4.7,"67%","78%","33%","42%",,"33%","40%","50.3%","48.4%",3.35,1.09,1.82
"Esports World Cup 2025","2025-07-20","T1",7,4,3,28.7,109,105,1.04,1.06,0.17,"4.4%",47.5,9.7,-634,"71%","43%","57%",4.1,"57%","52%","57%","55%",,"71%","83%","51.0%","52.0%",3.58,1.36,1.34